epoch,train_loss,test_loss,train_acc,test_acc
0,0.43638403461529657,0.37023641914129257,0.050304873344989925,0.0
1,0.36078888407120335,0.29859801940619946,0.0650260190694378,0.21283495426177979
2,0.32795657446751225,0.2707603368908167,0.17734159529209137,0.29066893458366394
3,0.2877485520564593,0.24075777642428875,0.24621803955389904,0.3019814193248749
4,0.2555118072491426,0.21529448963701725,0.3457685970343076,0.4522416591644287
5,0.23633194714784622,0.1994377076625824,0.46014091830987197,0.497104674577713
6,0.22066075251652645,0.1883980669081211,0.5192456112458156,0.5230891704559326
7,0.20747084101805321,0.18467642925679684,0.5788792468034304,0.5606505870819092
8,0.19289526710143456,0.16662268713116646,0.6091465684083792,0.6233960390090942
9,0.17638762971529595,0.15578489378094673,0.6609431193425105,0.6762430667877197
10,0.16567618411320906,0.15139388106763363,0.6850703652088459,0.728172242641449
11,0.15469932498840186,0.14322581281885505,0.7354385009178749,0.7519639134407043
12,0.15019239897911366,0.13291402673348784,0.7529234409332275,0.7512878775596619
13,0.1395804213789793,0.1305407629115507,0.7456803541917068,0.7592189311981201
14,0.13895549877331806,0.14022176060825586,0.7884122490882873,0.7483737468719482
15,0.1294114646430199,0.1279319564346224,0.8000015139579773,0.7721814513206482
16,0.12596343440505176,0.13009824068285525,0.7989004932917081,0.7617418169975281
17,0.11989905106333586,0.1297870660200715,0.7987218655072725,0.7869639992713928
18,0.11304318492229168,0.12903942191042006,0.8089780055559599,0.7675312161445618
19,0.11645236869270985,0.13038319977931678,0.8384876865607042,0.783093273639679
20,0.1078382433607028,0.1231174044078216,0.824452963242164,0.7851715087890625
21,0.10490471273660659,0.1288564623100683,0.8474156718987685,0.7874907851219177
22,0.10013475661667494,0.1295825329143554,0.8468192494832553,0.7892468571662903
23,0.09965524381169906,0.1245429267291911,0.8302202921647291,0.770575761795044
24,0.09502161044913988,0.12909788452088833,0.8591303577789894,0.7911420464515686
25,0.08906455902526011,0.12953109852969646,0.8657306533593397,0.7580907344818115
26,0.08993846387244188,0.11515548027819023,0.8671238294014564,0.7967044711112976
27,0.08404866416866963,0.11894186050631106,0.8784446331170889,0.7994732856750488
28,0.0799736829331288,0.12856098194606602,0.8838081414882953,0.816031277179718
29,0.08416941873729229,0.1285796580486931,0.8649655608030465,0.8035118579864502
30,0.08558438133734923,0.12055266366223805,0.8650781127122732,0.8097513318061829
31,0.07585756900505378,0.11969102057628334,0.8749015698066125,0.8263883590698242
32,0.07504890357645658,0.12105175427859649,0.9002989347164447,0.8057762980461121
33,0.073407039934626,0.1451260487374384,0.8954688209753771,0.8045161366462708
34,0.07365793300649294,0.12841117719653994,0.9038367253083449,0.8210954666137695
35,0.06582682163526232,0.13674163236282766,0.9027130264502305,0.8414290547370911
36,0.06259419933821146,0.12439560506027192,0.8993548292380112,0.851735532283783
37,0.06262324515443582,0.13100895555544412,0.909605951492603,0.8475735783576965
38,0.06932421404008682,0.1433419196109753,0.8878648684575008,0.8435153365135193
39,0.060607045731292324,0.13247487536864355,0.9120480042237502,0.8364253044128418
40,0.06464784063685398,0.13887883676216006,0.8932327811534588,0.8603909015655518
41,0.059484027856244494,0.15407766855787486,0.9175834719951336,0.8354253172874451
42,0.056043878957056086,0.1644879870582372,0.9333569994339577,0.8277378082275391
43,0.059170730111117543,0.1544302070979029,0.9170890404627874,0.8399041295051575
44,0.056838585178439434,0.1469704692135565,0.9089719350521381,0.8304331302642822
45,0.059180269605265214,0.1373831331729889,0.9295868158340455,0.8383163809776306
46,0.06060221235339458,0.15316942508798093,0.9164656400680542,0.8238716125488281
47,0.05165260742919949,0.1475266886409372,0.9290887355804444,0.8358058929443359
48,0.04919007886201143,0.15179834461741848,0.9231960736788236,0.8515127301216125
49,0.05161028851468403,0.1445656733121723,0.9201727573688213,0.8482591509819031
50,0.04810625307548504,0.13835441666014958,0.9393840633905851,0.8558578491210938
51,0.045647981891838406,0.16487095530465012,0.9302161913651686,0.8541062474250793
52,0.04700781187185874,0.16106601187493652,0.9177631258964538,0.8502151370048523
53,0.04927196317853836,0.15292228310136124,0.9200127069766705,0.862450897693634
54,0.049605858798783556,0.15469993650913239,0.9301164177747873,0.8443958163261414
55,0.0482958174453905,0.14831153835984878,0.935856909935291,0.8631098866462708
56,0.04248221616748756,0.181902966927737,0.9424060243826646,0.8575410842895508
57,0.04535238922645266,0.18682676349999383,0.940897090618427,0.8677271008491516
58,0.04137699031629241,0.18612004892202094,0.9547551466868474,0.8441048264503479
59,0.04041173928059064,0.17377997853327543,0.9441928166609544,0.8577284216880798
60,0.039403801053189316,0.1690511965425685,0.9446056100038381,0.877296507358551
61,0.03743360890791966,0.193170231897966,0.9526695233124953,0.8546991944313049
62,0.03505517728268527,0.23338955626240931,0.9428985513173617,0.866685152053833
63,0.04099892406509473,0.16078444168670103,0.9409177495883061,0.8439781665802002
64,0.03901668014363027,0.19036199078254867,0.9426478752723106,0.8701795935630798
65,0.03950250199995935,0.18616899324115366,0.945366002046145,0.8648523688316345
66,0.034827010695321056,0.1993756611336721,0.9573363249118512,0.8539140224456787
67,0.0339382580230729,0.1957452013884904,0.9593018311720628,0.860359251499176
68,0.03459339633655663,0.17708962428150699,0.9540407685133127,0.8617255091667175
69,0.03413699819849661,0.1813980149308918,0.9503886635486897,0.8783649802207947
70,0.033510359561590194,0.19066603158717044,0.9500937104225159,0.8748138546943665
71,0.03324870099671758,0.16463971993653104,0.949821505179772,0.8716108798980713
72,0.033502499615916836,0.1761663091601804,0.954931392119481,0.8687013983726501
73,0.029076789777116994,0.17458684000303037,0.9584384340506333,0.8602741360664368
74,0.036974511130784565,0.18059114238712937,0.9522031114651607,0.8730280995368958
75,0.03161204889631615,0.19514014245942235,0.9566889322721042,0.8544530868530273
76,0.027944098515077852,0.19279159963480197,0.9501064291367164,0.8515287041664124
77,0.03391145074766917,0.22679639768102788,0.9511414408683777,0.859637439250946
78,0.031927904790231526,0.1913226577162277,0.9585004751498882,0.8788092732429504
79,0.025119293976324397,0.22176845810645318,0.9616638091894296,0.861121416091919
80,0.031339397896618514,0.1857389276556205,0.957770731815925,0.8502478003501892
81,0.028266283205952137,0.23569002926706162,0.9598440014399015,0.8389967083930969
82,0.030442678733603457,0.1800186347682029,0.96471840601701,0.8612637519836426
83,0.02944999278809589,0.1674698279966833,0.9551779921238239,0.8823649883270264
84,0.027358568241246616,0.1497707443377294,0.9651270472086393,0.8773388862609863
85,0.032217152853711295,0.18506140862882603,0.9538560546361483,0.8636820316314697
86,0.021163058160947493,0.16374649012868758,0.9726060042014488,0.8443844318389893
87,0.026198263452030145,0.20741841921608284,0.9630496492752663,0.8809844851493835
88,0.029960873416768244,0.18318538591847755,0.9578186576183025,0.8664363026618958
89,0.027301290636667266,0.17868545606506814,0.9674826548649714,0.876467764377594
90,0.02367886346854413,0.19851435188320465,0.966089545763456,0.8753461837768555
91,0.026872557531281087,0.2320236701052636,0.9658911219009987,0.877406895160675
92,0.024389233351506005,0.18085239315405488,0.9656407136183519,0.8535779118537903
93,0.02411237561251395,0.17870311019942164,0.9734046835165757,0.863657534122467
