epoch,train_loss,test_loss,train_acc,test_acc
0,0.6875505868126365,0.21663842980678266,0.1640128410037826,0.2327595353126526
1,0.2398762977590748,0.17531189838281044,0.24613101517452912,0.2770424783229828
2,0.20786144306846693,0.13613066019920203,0.3689096891412548,0.5355976819992065
3,0.1709194003659136,0.12304157706407401,0.4944571303386314,0.6397749185562134
4,0.14668618171822792,0.11162107839034154,0.6249764292847877,0.7134174108505249
5,0.13536561295097949,0.10046299317708382,0.672713530998604,0.7790058851242065
6,0.12259601619021565,0.0966775193810463,0.7108126457999734,0.7609455585479736
7,0.10571418698950141,0.07874724297569348,0.7488432468152514,0.8485662937164307
8,0.09747242646328375,0.08226709784223483,0.7564873870681313,0.8208663463592529
9,0.09530461594170216,0.07556453404518274,0.7638371154373768,0.8591614961624146
10,0.08500675192358446,0.07627457237014404,0.8136917785102246,0.8502212762832642
11,0.07950102917703927,0.0697278377528374,0.8073515482977325,0.8346110582351685
12,0.07320565781464763,0.07063138771515626,0.8408965877458161,0.8397333025932312
13,0.06392918127205442,0.062218997054375134,0.81896825280844,0.8775088787078857
14,0.06110708389942553,0.06064710321907814,0.8530318526660695,0.8638100624084473
15,0.05989084721488111,0.06062150560319424,0.8539218049423367,0.861432671546936
16,0.05701017153321528,0.06717800062436324,0.8816987848749348,0.8625048995018005
17,0.056882858166799825,0.06364727593385257,0.8661017452969271,0.8879044651985168
18,0.05325893458782458,0.06450949824200226,0.8590453991702959,0.8708017468452454
19,0.050780004675627925,0.05595723962268004,0.888598761137794,0.8782557845115662
20,0.0516954221780978,0.06864425711906873,0.89524399766735,0.8629593849182129
21,0.04647339449501505,0.06156647062072387,0.9008151736913943,0.8692466020584106
22,0.04290470236218443,0.07308549892443877,0.8945598438674328,0.8652297258377075
23,0.04621649822037594,0.05988881565057314,0.8900134353076711,0.87807297706604
24,0.04531061043049775,0.06045351105813797,0.9176629512917762,0.8623315691947937
25,0.038511799493183695,0.06228405982255936,0.9089172798044541,0.8903630971908569
26,0.04314607865743193,0.0644307519094302,0.9029255567812452,0.8737127780914307
27,0.03546329532914302,0.06590162285675223,0.9154539108276367,0.8748034834861755
28,0.033717278783739195,0.07745029877584714,0.9232237070214515,0.8667818307876587
29,0.03372300336794818,0.07510167023596856,0.9290290416455736,0.8746196031570435
30,0.03410535467350308,0.07209935540763232,0.9342514276504517,0.8794114589691162
31,0.034497981553203334,0.07635435333045629,0.9191949788261863,0.8820405006408691
32,0.046010866140325866,0.07899224099058372,0.9070064776084003,0.8478498458862305
33,0.03735209230844881,0.06613323479317702,0.9120555216190862,0.8864279985427856
34,0.03037373525291389,0.08133859430941251,0.9309348838002074,0.8553205728530884
35,0.0311380714114171,0.06959437363995956,0.9257280581137713,0.8856500387191772
36,0.028109351191304477,0.07398719311906742,0.9453861351106682,0.8938791751861572
37,0.032198637194347145,0.08317988423200753,0.9249896418814566,0.8710773587226868
38,0.02868005542048052,0.06968327891081572,0.9292914142795637,0.9006913900375366
39,0.025639278581651274,0.07613016836918317,0.9449536426394594,0.8871446847915649
40,0.027308939771233675,0.06428600890705219,0.9335906482210347,0.9035550355911255
41,0.022693429089735682,0.08007430464315873,0.9477488024562013,0.8976510167121887
42,0.023776531525357972,0.06577387899876787,0.9447179027632171,0.909084677696228
43,0.022941184704940693,0.0805636657258639,0.9453165799963708,0.8880280256271362
44,0.025012755937709966,0.10916753571767074,0.9519910485136742,0.8563089370727539
45,0.022558571821005614,0.0788292634802369,0.9453007333418902,0.8986684083938599
46,0.01959087618845789,0.08450753514010173,0.9690092813734915,0.8901672959327698
47,0.017763652522619085,0.08890067499417525,0.9593307410969454,0.8799395561218262
48,0.021734901160622638,0.0837496856514078,0.9578198708739936,0.9000240564346313
49,0.018118326159595858,0.08146057034341189,0.965496796018937,0.9017838835716248
50,0.015666343074853477,0.08675158625611892,0.9658744276738634,0.8872619867324829
51,0.016575975437173804,0.1096958821066297,0.9552271915417091,0.8860949277877808
52,0.016306805643241617,0.0967886121943593,0.9630725897994696,0.8899224400520325
53,0.014254332680566757,0.10167780017050412,0.9586687029576769,0.9023302793502808
54,0.008710954359997356,0.10081200387615424,0.977886204626046,0.9031088352203369
55,0.008168167556754733,0.09909261154154173,0.9757992286308139,0.9090484380722046
56,0.007370486495988991,0.09974420070648193,0.98695829335381,0.9080672264099121
57,0.0060073753529828605,0.09988065214397815,0.9840860062954473,0.9111496806144714
58,0.005061128839859557,0.10226437313338885,0.9933976005105412,0.9081658124923706
59,0.005623178864719675,0.10462139618511383,0.9863904282158497,0.913703441619873
60,0.005161918914025449,0.10627219467782058,0.9884024613043841,0.9131009578704834
61,0.004879801172886372,0.10518824094190048,0.9942600189470777,0.9079926013946533
62,0.005056954055380272,0.11081297573848413,0.9931610308441461,0.908835232257843
63,0.004434282472442754,0.11429039618143669,0.9896656683847016,0.9078314304351807
64,0.00487467028199485,0.11146367563364598,0.9838789502779642,0.9120699167251587
65,0.0045662209673786956,0.11249870183662726,0.993804397536259,0.9099023342132568
66,0.003566091967228453,0.1180528815692434,0.9885416065945345,0.912159264087677
67,0.003434591619742266,0.12098412760175191,0.9953926719871222,0.9094631671905518
68,0.0038881400205176687,0.12234085046041471,0.9948456462691811,0.9073616862297058
69,0.0034040048825523164,0.12546554078849462,0.9952709768332687,0.9097451567649841
70,0.0036945658878133093,0.12457582039328721,0.9944445105159984,0.9124994874000549
71,0.0026828270761054193,0.12484812593230835,0.9980973916895249,0.9124994874000549
72,0.0026935170865138337,0.12561281971060312,0.9948339462280273,0.9124994874000549
73,0.002912706390049482,0.1265123374760151,0.994016544491637,0.911414384841919
74,0.0032735906068267592,0.12662018749576348,0.9934281005578882,0.911414384841919
75,0.0036214833343918003,0.12721107355677164,0.9950750797402625,0.911414384841919
