epoch,train_loss,test_loss,train_acc,test_acc
0,0.4450311597549554,0.339092629296439,0.08759209750728174,0.13762839138507843
1,0.3254306424747814,0.2816391885280609,0.1648085466162725,0.2529965341091156
2,0.28498007447430584,0.26767541468143463,0.3406726144479983,0.33638808131217957
3,0.26773125587990787,0.24143805035523005,0.37877134301445703,0.42875877022743225
4,0.23847683891654015,0.2257319348199027,0.47357947085842944,0.5220668315887451
5,0.22680582331888605,0.22076880080359323,0.5060656878984335,0.562404453754425
6,0.2072258149414803,0.1959196169461523,0.6004327833652496,0.5851005911827087
7,0.19271205058039137,0.18718615919351578,0.6084968673460411,0.6748029589653015
8,0.18652681611252553,0.18217695291553224,0.6433938326257648,0.6287047266960144
9,0.18769620562141592,0.18349811541182653,0.6534244020779928,0.6933158040046692
10,0.17695820794412584,0.1610842826110976,0.6733605089512739,0.716439962387085
11,0.16387144171378829,0.16790191722767694,0.6874572363766757,0.6835167407989502
12,0.15868166134212958,0.1800174723778452,0.6945757459510457,0.6959221959114075
13,0.1584530183763215,0.1657750287226268,0.6921737862355781,0.6546511054039001
14,0.1523067762680126,0.15516101781811034,0.7210215284968867,0.7062409520149231
15,0.15294335229378758,0.1559870700751032,0.7392015339750232,0.7050356268882751
16,0.13962829841131513,0.1536550990172795,0.7232861500797849,0.74382084608078
17,0.1432025678117167,0.17243768168347223,0.7518158726619951,0.6932051181793213
18,0.1397411465419061,0.15640028566122055,0.7398139834403992,0.7025328278541565
19,0.14079582648859781,0.1517695656844548,0.7299887772762415,0.719060480594635
20,0.12664245241180513,0.15094629249402455,0.7443371749285496,0.7243084907531738
21,0.12938060238957405,0.14919742622545787,0.7560179116147937,0.7463842034339905
22,0.12458108992061832,0.15553047827311925,0.7749597041895895,0.7378695011138916
23,0.12319891516006354,0.15426195093563624,0.766366206335299,0.7271310687065125
24,0.11857145226024317,0.1390435535992895,0.7744254632429644,0.7624561786651611
25,0.11681854570260697,0.162010629262243,0.7854537837433092,0.7578155994415283
26,0.11482644385912201,0.15893036872148514,0.7787138593919349,0.6966731548309326
27,0.10967070265023997,0.14813804200717381,0.7643791464242068,0.7611978054046631
28,0.10743535005233505,0.15088422277144023,0.8047273845383616,0.7577356696128845
29,0.11562405487127377,0.15518346748181752,0.8022490243117014,0.7805219292640686
30,0.10587364169910099,0.17951393127441406,0.8099140371337081,0.7361355423927307
31,0.10930895681182544,0.16762528994253703,0.8027621327024518,0.7555729746818542
32,0.10260315403116471,0.14641936442681722,0.818204481493343,0.7326069474220276
33,0.09781464535229713,0.156211328293596,0.8269881452574874,0.7556865215301514
34,0.10061402680973212,0.16606474667787552,0.8195456239310178,0.7520127296447754
35,0.09849335078262922,0.15241592803171702,0.8263996993050431,0.7506093978881836
36,0.10080602384087714,0.169109474335398,0.821140010248531,0.7648666501045227
37,0.0949514523063871,0.14460578560829163,0.8473066181847544,0.755256175994873
38,0.09014528922059319,0.17461892856018885,0.8401078500530936,0.7627268433570862
39,0.08607394659581284,0.1412635456238474,0.8510381796143272,0.7538312077522278
40,0.08228562260046601,0.14616159349679947,0.8520562856486349,0.7844517230987549
41,0.08598838859435284,0.15027536558253424,0.844369166728222,0.7746353149414062
42,0.08224877737688296,0.15417698877198355,0.8461504145102068,0.7762611508369446
43,0.08402117403844993,0.16696604554142272,0.8524851049437667,0.7936465740203857
44,0.0839164929859566,0.14631104256425584,0.8500754589384253,0.7765499949455261
